index;date;country;confirmed
0;2020-01-22;Canada;0.0
0;2020-01-22;Korea, South;1.0
0;2020-01-22;Kosovo;0.0
0;2020-01-22;Kuwait;0.0
0;2020-01-22;Kyrgyzstan;0.0
0;2020-01-22;Laos;0.0
0;2020-01-22;Latvia;0.0
0;2020-01-22;Lebanon;0.0
0;2020-01-22;Lesotho;0.0
0;2020-01-22;Liberia;0.0
0;2020-01-22;Libya;0.0
0;2020-01-22;Liechtenstein;0.0
0;2020-01-22;Lithuania;0.0
0;2020-01-22;Luxembourg;0.0
0;2020-01-22;MS Zaandam;0.0
0;2020-01-22;Madagascar;0.0
0;2020-01-22;Malawi;0.0
0;2020-01-22;Malaysia;0.0
0;2020-01-22;Maldives;0.0
0;2020-01-22;Mali;0.0
0;2020-01-22;Malta;0.0
0;2020-01-22;Mauritania;0.0
0;2020-01-22;Mauritius;0.0
0;2020-01-22;Mexico;0.0
0;2020-01-22;Moldova;0.0
0;2020-01-22;Monaco;0.0
0;2020-01-22;Mongolia;0.0
0;2020-01-22;Montenegro;0.0
0;2020-01-22;Morocco;0.0
0;2020-01-22;Mozambique;0.0
0;2020-01-22;Kenya;0.0
0;2020-01-22;Kazakhstan;0.0
0;2020-01-22;Jordan;0.0
0;2020-01-22;Japan;2.0
0;2020-01-22;Estonia;0.0
0;2020-01-22;Eswatini;0.0
0;2020-01-22;Ethiopia;0.0
0;2020-01-22;Fiji;0.0
0;2020-01-22;Finland;0.0
0;2020-01-22;France;0.0
0;2020-01-22;Gabon;0.0
0;2020-01-22;Gambia;0.0
0;2020-01-22;Georgia;0.0
0;2020-01-22;Germany;0.0
0;2020-01-22;Ghana;0.0
0;2020-01-22;Greece;0.0
0;2020-01-22;Grenada;0.0
0;2020-01-22;Guatemala;0.0
0;2020-01-22;Nepal;0.0
0;2020-01-22;Guinea;0.0
0;2020-01-22;Guyana;0.0
0;2020-01-22;Haiti;0.0
0;2020-01-22;Holy See;0.0
0;2020-01-22;Honduras;0.0
0;2020-01-22;Hungary;0.0
0;2020-01-22;Iceland;0.0
0;2020-01-22;India;0.0
0;2020-01-22;Indonesia;0.0
0;2020-01-22;Iran;0.0
0;2020-01-22;Iraq;0.0
